Source-Destination Pair,Total Data (bytes)
172.16.133.68:60658 -> 172.16.139.250:5440,60
172.16.133.12:59649 -> 172.16.139.250:5440,60
172.16.133.63:53815 -> 172.16.139.250:5440,60
172.16.133.78:58880 -> 169.233.51.66:46939,7623
172.16.133.20:62289 -> 67.217.66.244:443,60
172.16.133.82:61260 -> 172.16.139.250:5440,180
172.16.133.66:53788 -> 172.16.139.250:5440,120
172.16.133.37:60542 -> 172.16.139.250:5440,66
172.16.133.57:60586 -> 157.56.242.198:443,5064
172.16.133.37:60487 -> 216.219.115.183:443,1990
172.16.133.37:60488 -> 216.115.217.225:443,1810
172.16.133.37:60483 -> 64.74.80.244:443,2174
172.16.133.53:53644 -> 67.217.65.49:443,2294
172.16.133.36:62603 -> 68.64.21.42:1853,58450
96.43.146.22:443 -> 172.16.133.53:53841,120
172.16.133.85:60808 -> 132.245.1.150:443,480
96.43.146.22:443 -> 172.16.133.109:49455,175
157.56.242.198:443 -> 172.16.133.57:60586,3026
132.245.1.150:443 -> 172.16.133.85:60808,17141
132.245.1.150:443 -> 172.16.133.85:60806,360
98.139.134.187:80 -> 172.16.133.132:38645,1514
172.16.133.50:50685 -> 96.43.146.50:443,1559
172.16.133.82:61261 -> 204.232.250.57:443,1802
64.56.203.22:443 -> 172.16.133.50:50684,761
216.115.217.144:443 -> 172.16.133.99:51687,637
157.56.242.198:443 -> 172.16.133.57:60589,4640
172.16.133.26:53072 -> 107.20.103.220:443,6760
172.16.133.56:61342 -> 172.16.139.250:5440,60
172.16.133.53:53648 -> 67.217.66.49:443,2598
76.13.6.174:80 -> 172.16.133.132:50415,1002
54.243.254.190:443 -> 172.16.133.36:64517,8937
96.43.146.48:443 -> 172.16.133.50:50687,369
172.16.133.26:53038 -> 67.217.65.99:443,3047
172.16.133.41:52659 -> 172.16.139.250:5440,650
98.139.161.29:80 -> 172.16.133.132:54630,66
172.16.133.85:52186 -> 172.16.139.250:5440,60
96.43.146.48:443 -> 172.16.133.50:50686,999
172.16.133.132:44320 -> 98.138.19.88:80,461
172.16.133.207:49560 -> 172.16.139.250:5500,147396
172.16.133.12:63225 -> 172.16.139.250:5500,34028
172.16.133.50:50690 -> 96.43.146.22:443,285
172.16.133.114:55273 -> 67.217.66.49:443,1030
172.16.133.13:52978 -> 172.16.139.250:5440,265
96.43.146.22:443 -> 172.16.133.50:50688,183
172.16.133.12:53371 -> 96.43.146.176:443,33539
172.16.133.41:52424 -> 74.125.226.26:80,120
172.16.133.28:65273 -> 172.16.139.250:5440,126
172.16.133.99:55983 -> 172.16.139.250:5440,66
172.16.133.78:58388 -> 216.246.75.64:80,120
172.16.133.87:60117 -> 172.16.139.250:5440,120
96.43.146.22:443 -> 172.16.133.53:53779,60
96.43.146.22:443 -> 172.16.133.53:53778,120
172.16.133.103:63410 -> 216.115.222.200:443,180
172.16.133.26:53041 -> 67.217.66.99:443,2360
172.16.133.116:53127 -> 172.16.139.250:5440,120
172.16.133.116:53128 -> 172.16.139.250:5440,126
216.246.75.64:80 -> 172.16.133.78:58388,66
172.16.133.116:53129 -> 172.16.139.250:5440,60
96.43.146.176:443 -> 172.16.133.12:53368,24790
172.16.133.12:53368 -> 96.43.146.176:443,15821
172.16.133.84:58731 -> 172.16.139.250:5440,126
96.43.146.48:443 -> 172.16.133.47:56541,140
98.139.134.187:80 -> 172.16.133.132:38650,1514
216.115.222.200:443 -> 172.16.133.103:63410,60
172.16.133.44:64675 -> 216.52.242.80:80,1288
172.16.133.49:54984 -> 67.217.64.65:443,2176
172.16.133.35:49911 -> 172.16.139.250:5440,60
172.16.133.48:60316 -> 96.43.146.22:443,1480
172.16.133.83:51419 -> 172.16.139.250:5500,28636
172.16.133.44:50452 -> 96.43.146.48:443,608
96.43.146.176:443 -> 172.16.133.33:53878,120
172.16.133.121:54742 -> 69.9.238.98:56159,301
172.16.133.49:55706 -> 172.16.139.250:5440,590
172.16.133.26:54654 -> 68.64.21.37:1853,60120
96.43.146.48:443 -> 172.16.133.57:60590,1294
216.219.115.17:443 -> 172.16.133.39:62814,1565
172.16.133.95:56884 -> 172.16.139.250:5440,385
216.219.115.54:443 -> 172.16.133.99:51684,1076
67.217.64.99:443 -> 172.16.133.26:53037,1340041
67.217.64.64:443 -> 172.16.133.49:54983,1788
172.16.133.26:53037 -> 67.217.64.99:443,29385
172.16.133.37:137 -> 172.16.133.255:137,460
216.219.115.54:443 -> 172.16.133.67:51314,753
157.56.245.198:443 -> 172.16.133.207:49658,720
172.16.133.50:50692 -> 216.137.33.57:443,66
96.43.146.176:443 -> 172.16.133.12:53371,37217
172.16.133.29:60818 -> 172.16.139.250:5440,126
23.33.47.100:443 -> 172.16.133.67:51811,239939
172.16.133.132:44325 -> 98.138.19.88:80,198
68.64.21.45:1853 -> 172.16.133.207:50477,52689
172.16.133.207:55874 -> 172.16.139.250:5440,120
172.16.133.103:63411 -> 66.151.158.187:443,60
172.16.133.83:57023 -> 172.16.139.250:5440,325
172.16.133.85:51683 -> 216.115.208.199:443,3783
216.137.33.57:443 -> 172.16.133.50:50692,1514
172.16.133.103:63412 -> 216.219.112.250:443,60
172.16.133.11:55081 -> 172.16.139.250:5440,60
172.16.133.73:60505 -> 72.21.195.34:443,358
172.16.133.50:50691 -> 216.137.33.57:443,236
172.16.133.132:52348 -> 98.139.240.23:80,60
68.64.30.250:443 -> 172.16.133.92:57615,60
172.16.133.73:60506 -> 172.16.139.250:5440,180
172.16.133.53:54039 -> 172.16.139.250:5440,505
172.16.133.21:53113 -> 172.16.139.250:5440,120
172.16.133.30:62551 -> 172.16.139.250:5440,325
172.16.133.47:56534 -> 67.217.65.65:443,3109
172.16.133.25:63344 -> 172.16.139.250:5440,120
172.16.133.34:50379 -> 172.16.139.250:5440,60
172.16.133.97:59310 -> 172.16.139.250:5440,391
172.16.133.56:60849 -> 67.217.64.49:443,2435
98.139.240.23:80 -> 172.16.133.132:52348,60
172.16.133.47:56533 -> 67.217.64.65:443,1530
172.16.133.78:58398 -> 23.67.242.42:80,60
68.64.28.70:8200 -> 172.16.133.49:58247,6486
172.16.133.233:37522 -> 8.8.8.8:33442,60
172.16.133.33:57819 -> 172.16.139.250:5440,60
172.16.133.36:65072 -> 216.115.219.126:443,60
172.16.133.233:39858 -> 8.8.8.8:33443,60
172.16.133.68:60659 -> 172.16.139.250:5440,120
172.16.133.67:55899 -> 216.219.115.250:443,66
172.16.133.12:59650 -> 172.16.139.250:5440,180
